,threshold,max_assocs,n_assocs,n_assocs_pc,density
0,0.0,0.0,0.0,0.0,0.0
1,1.0,10.0,501.0,0.007394724801109947,0.004066525434046802
2,1.0,3.0,379.0,0.005660180110216699,0.0030762737315443867
3,0.6500000000000001,64.0,8831.0,0.13090914481388696,0.0716796129901543
4,0.0,0.0,0.0,0.0,0.0
5,1.0,5.0,389.0,0.005981762544017469,0.0031574419038806504
6,1.0,2.0,369.0,0.005396077972595528,0.0029951055592081235
7,1.0,4.0,393.0,0.005915556559042673,0.0031899091728151557
8,1.0,3.0,377.0,0.005620071257136894,0.003060040097077134
9,1.0,5.0,399.0,0.005968497105503284,0.0032386100762169137
10,1.0,5.0,415.0,0.006183048019189797,0.0033684791519549354
11,1.0,4.0,389.0,0.005840928542470608,0.0031574419038806504
12,1.0,4.0,407.0,0.005930783242258652,0.0033035446140859247
13,1.0,7.0,451.0,0.006836751709187927,0.003660684572365484
14,1.0,2.0,373.0,0.005860264890257506,0.0030275728281426288
15,1.0,3.0,385.0,0.005551790272109824,0.003124974634946145
16,1.0,6.0,403.0,0.005897589744340216,0.0032710773451514194
17,1.0,4.0,389.0,0.005718317726784953,0.0031574419038806504
18,1.0,5.0,389.0,0.005723197339963807,0.0031574419038806504
19,1.0,4.0,387.0,0.005537827511698124,0.0031412082694133978
