threshold,max assoc,n assocs,accuracy,round
0.0,90.0,9690.0,0.9733333333333334,0.0
0.05,70.0,7922.0,0.9733333333333334,0.0
0.1,64.0,7184.0,0.9733333333333334,0.0
0.15000000000000002,57.0,6218.0,0.9733333333333334,0.0
0.2,55.0,5562.0,0.9733333333333334,0.0
0.25,50.0,5034.0,0.9733333333333334,0.0
0.3,50.0,4456.0,0.9733333333333334,0.0
0.35000000000000003,40.0,4036.0,0.9733333333333334,0.0
0.4,35.0,3640.0,0.9733333333333334,0.0
0.45,34.0,3288.0,0.9733333333333334,0.0
0.5,33.0,3064.0,0.9733333333333334,0.0
0.55,28.0,2816.0,0.9733333333333334,0.0
0.6000000000000001,26.0,2558.0,0.9733333333333334,0.0
0.6500000000000001,23.0,2302.0,0.8,0.0
0.7000000000000001,23.0,2026.0,0.8,0.0
0.7500000000000001,21.0,1666.0,0.5333333333333333,0.0
0.8,20.0,1218.0,0.5333333333333333,0.0
0.8500000000000001,17.0,862.0,0.54,0.0
0.9000000000000001,12.0,576.0,0.3466666666666667,0.0
0.9500000000000001,9.0,354.0,0.34,0.0
1.0,4.0,176.0,0.34,0.0
0.0,112.0,10384.0,0.84,1.0
0.05,81.0,8394.0,0.84,1.0
0.1,65.0,7400.0,0.84,1.0
0.15000000000000002,60.0,6860.0,0.84,1.0
0.2,55.0,6414.0,0.84,1.0
0.25,50.0,5360.0,0.84,1.0
0.3,50.0,4874.0,0.84,1.0
0.35000000000000003,47.0,4364.0,0.84,1.0
0.4,38.0,3874.0,0.84,1.0
0.45,36.0,3486.0,0.84,1.0
0.5,31.0,3224.0,0.84,1.0
0.55,28.0,2978.0,0.84,1.0
0.6000000000000001,27.0,2724.0,0.84,1.0
0.6500000000000001,24.0,2466.0,0.84,1.0
0.7000000000000001,23.0,2110.0,0.7466666666666667,1.0
0.7500000000000001,20.0,1730.0,0.4866666666666667,1.0
0.8,16.0,1330.0,0.47333333333333333,1.0
0.8500000000000001,11.0,932.0,0.34,1.0
0.9000000000000001,9.0,616.0,0.3466666666666667,1.0
0.9500000000000001,6.0,302.0,0.3466666666666667,1.0
1.0,3.0,176.0,0.34,1.0
0.0,112.0,9996.0,0.9733333333333334,2.0
0.05,78.0,8114.0,0.9733333333333334,2.0
0.1,66.0,7206.0,0.9733333333333334,2.0
0.15000000000000002,58.0,6736.0,0.9733333333333334,2.0
0.2,54.0,5856.0,0.9733333333333334,2.0
0.25,51.0,5338.0,0.9733333333333334,2.0
0.3,50.0,5004.0,0.9733333333333334,2.0
0.35000000000000003,49.0,4478.0,0.9733333333333334,2.0
0.4,37.0,3942.0,0.9733333333333334,2.0
0.45,34.0,3532.0,0.9733333333333334,2.0
0.5,34.0,3192.0,0.9733333333333334,2.0
0.55,33.0,2942.0,0.9733333333333334,2.0
0.6000000000000001,26.0,2692.0,0.9733333333333334,2.0
0.6500000000000001,23.0,2436.0,0.5133333333333333,2.0
0.7000000000000001,21.0,2162.0,0.5933333333333334,2.0
0.7500000000000001,20.0,1734.0,0.5933333333333334,2.0
0.8,19.0,1320.0,0.41333333333333333,2.0
0.8500000000000001,14.0,912.0,0.41333333333333333,2.0
0.9000000000000001,9.0,634.0,0.37333333333333335,2.0
0.9500000000000001,8.0,360.0,0.34,2.0
1.0,3.0,170.0,0.34,2.0
0.0,100.0,11750.0,0.84,3.0
0.05,90.0,9044.0,0.84,3.0
0.1,74.0,7900.0,0.84,3.0
0.15000000000000002,65.0,6526.0,0.84,3.0
0.2,58.0,5890.0,0.84,3.0
0.25,51.0,5358.0,0.84,3.0
0.3,47.0,4864.0,0.84,3.0
0.35000000000000003,40.0,4446.0,0.84,3.0
0.4,38.0,3958.0,0.84,3.0
0.45,37.0,3594.0,0.84,3.0
0.5,33.0,3268.0,0.84,3.0
0.55,28.0,2946.0,0.84,3.0
0.6000000000000001,26.0,2672.0,0.84,3.0
0.6500000000000001,24.0,2388.0,0.5133333333333333,3.0
0.7000000000000001,21.0,2042.0,0.5133333333333333,3.0
0.7500000000000001,19.0,1684.0,0.5133333333333333,3.0
0.8,15.0,1274.0,0.64,3.0
0.8500000000000001,12.0,936.0,0.62,3.0
0.9000000000000001,10.0,606.0,0.34,3.0
0.9500000000000001,8.0,336.0,0.3466666666666667,3.0
1.0,3.0,170.0,0.3466666666666667,3.0
0.0,100.0,9508.0,0.9733333333333334,4.0
0.05,70.0,7674.0,0.9733333333333334,4.0
0.1,64.0,6950.0,0.9733333333333334,4.0
0.15000000000000002,59.0,6522.0,0.9733333333333334,4.0
0.2,51.0,5548.0,0.9733333333333334,4.0
0.25,50.0,4990.0,0.9733333333333334,4.0
0.3,50.0,4484.0,0.9733333333333334,4.0
0.35000000000000003,50.0,4034.0,0.9733333333333334,4.0
0.4,42.0,3692.0,0.9733333333333334,4.0
0.45,36.0,3428.0,0.9733333333333334,4.0
0.5,34.0,3166.0,0.9733333333333334,4.0
0.55,28.0,2876.0,0.9733333333333334,4.0
0.6000000000000001,27.0,2638.0,0.9733333333333334,4.0
0.6500000000000001,25.0,2406.0,0.9733333333333334,4.0
0.7000000000000001,24.0,2094.0,0.7466666666666667,4.0
0.7500000000000001,21.0,1694.0,0.7466666666666667,4.0
0.8,20.0,1278.0,0.7466666666666667,4.0
0.8500000000000001,17.0,922.0,0.36666666666666664,4.0
0.9000000000000001,10.0,608.0,0.34,4.0
0.9500000000000001,9.0,372.0,0.34,4.0
1.0,4.0,188.0,0.34,4.0
0.0,100.0,10040.0,0.84,5.0
0.05,77.0,7630.0,0.84,5.0
0.1,64.0,6908.0,0.84,5.0
0.15000000000000002,59.0,6490.0,0.84,5.0
0.2,50.0,5512.0,0.84,5.0
0.25,50.0,5070.0,0.84,5.0
0.3,50.0,4606.0,0.84,5.0
0.35000000000000003,45.0,4144.0,0.84,5.0
0.4,37.0,3696.0,0.84,5.0
0.45,33.0,3392.0,0.84,5.0
0.5,31.0,3114.0,0.84,5.0
0.55,28.0,2878.0,0.84,5.0
0.6000000000000001,27.0,2698.0,0.84,5.0
0.6500000000000001,23.0,2374.0,0.84,5.0
0.7000000000000001,20.0,2036.0,0.84,5.0
0.7500000000000001,18.0,1668.0,0.84,5.0
0.8,15.0,1278.0,0.6333333333333333,5.0
0.8500000000000001,11.0,912.0,0.41333333333333333,5.0
0.9000000000000001,10.0,586.0,0.37333333333333335,5.0
0.9500000000000001,8.0,344.0,0.34,5.0
1.0,4.0,192.0,0.34,5.0
0.0,100.0,11766.0,0.84,6.0
0.05,75.0,8188.0,0.84,6.0
0.1,69.0,7060.0,0.84,6.0
0.15000000000000002,59.0,6604.0,0.84,6.0
0.2,53.0,5778.0,0.84,6.0
0.25,50.0,5242.0,0.84,6.0
0.3,45.0,4788.0,0.84,6.0
0.35000000000000003,40.0,4300.0,0.84,6.0
0.4,37.0,3894.0,0.84,6.0
0.45,34.0,3454.0,0.84,6.0
0.5,30.0,3150.0,0.84,6.0
0.55,26.0,2840.0,0.84,6.0
0.6000000000000001,24.0,2564.0,0.84,6.0
0.6500000000000001,22.0,2288.0,0.84,6.0
0.7000000000000001,21.0,2028.0,0.5933333333333334,6.0
0.7500000000000001,20.0,1624.0,0.5466666666666666,6.0
0.8,19.0,1250.0,0.4266666666666667,6.0
0.8500000000000001,17.0,928.0,0.48,6.0
0.9000000000000001,11.0,600.0,0.3466666666666667,6.0
0.9500000000000001,7.0,338.0,0.3466666666666667,6.0
1.0,3.0,168.0,0.3466666666666667,6.0
0.0,100.0,9920.0,0.84,7.0
0.05,79.0,8252.0,0.84,7.0
0.1,71.0,7202.0,0.84,7.0
0.15000000000000002,58.0,6618.0,0.84,7.0
0.2,53.0,6060.0,0.84,7.0
0.25,50.0,5298.0,0.84,7.0
0.3,49.0,4700.0,0.84,7.0
0.35000000000000003,44.0,4292.0,0.84,7.0
0.4,37.0,3804.0,0.84,7.0
0.45,34.0,3516.0,0.84,7.0
0.5,29.0,3188.0,0.84,7.0
0.55,25.0,2934.0,0.84,7.0
0.6000000000000001,24.0,2690.0,0.84,7.0
0.6500000000000001,22.0,2440.0,0.8,7.0
0.7000000000000001,20.0,2056.0,0.7466666666666667,7.0
0.7500000000000001,19.0,1676.0,0.5333333333333333,7.0
0.8,17.0,1256.0,0.5333333333333333,7.0
