threshold,max assoc,n assocs,accuracy,round,n_clusts
0.0,100.0,9250.0,0.6666666666666666,0.0,2.0
0.05,77.0,7586.0,0.6666666666666666,0.0,2.0
0.1,62.0,6338.0,0.6666666666666666,0.0,2.0
0.15000000000000002,55.0,5638.0,0.6666666666666666,0.0,2.0
0.2,50.0,5134.0,0.6666666666666666,0.0,2.0
0.25,49.0,4556.0,0.6666666666666666,0.0,2.0
0.3,40.0,4120.0,0.6666666666666666,0.0,2.0
0.35000000000000003,38.0,3660.0,0.6666666666666666,0.0,2.0
0.4,33.0,3318.0,0.6666666666666666,0.0,2.0
0.45,32.0,3042.0,0.6666666666666666,0.0,2.0
0.5,25.0,2814.0,0.6666666666666666,0.0,2.0
0.55,24.0,2588.0,0.6666666666666666,0.0,2.0
0.6000000000000001,23.0,2280.0,0.76,0.0,4.0
0.6500000000000001,20.0,2000.0,0.76,0.0,4.0
0.7000000000000001,19.0,1654.0,0.6666666666666666,0.0,6.0
0.7500000000000001,18.0,1312.0,0.5333333333333333,0.0,11.0
0.8,13.0,992.0,0.43333333333333335,0.0,20.0
0.8500000000000001,10.0,734.0,0.3333333333333333,0.0,32.0
0.9000000000000001,9.0,490.0,0.16666666666666666,0.0,64.0
0.9500000000000001,9.0,280.0,0.11333333333333333,0.0,106.0
1.0,4.0,170.0,0.04666666666666667,0.0,143.0
0.0,100.0,9928.0,0.6666666666666666,1.0,2.0
0.05,70.0,7672.0,0.6666666666666666,1.0,2.0
0.1,64.0,6940.0,0.6666666666666666,1.0,2.0
0.15000000000000002,57.0,6148.0,0.6666666666666666,1.0,2.0
0.2,50.0,5314.0,0.6666666666666666,1.0,2.0
0.25,45.0,4668.0,0.6666666666666666,1.0,2.0
0.3,42.0,4182.0,0.6666666666666666,1.0,2.0
0.35000000000000003,41.0,3798.0,0.6666666666666666,1.0,2.0
0.4,34.0,3420.0,0.6666666666666666,1.0,2.0
0.45,33.0,3174.0,0.6666666666666666,1.0,2.0
0.5,27.0,2888.0,0.6666666666666666,1.0,2.0
0.55,27.0,2700.0,0.6666666666666666,1.0,2.0
0.6000000000000001,23.0,2434.0,0.9733333333333334,1.0,3.0
0.6500000000000001,21.0,2140.0,0.76,1.0,5.0
0.7000000000000001,20.0,1774.0,0.76,1.0,6.0
0.7500000000000001,19.0,1440.0,0.5133333333333333,1.0,9.0
0.8,18.0,1134.0,0.47333333333333333,1.0,15.0
0.8500000000000001,11.0,776.0,0.29333333333333333,1.0,33.0
0.9000000000000001,10.0,512.0,0.21333333333333335,1.0,63.0
0.9500000000000001,7.0,324.0,0.12,1.0,96.0
1.0,3.0,174.0,0.05333333333333334,1.0,140.0
0.0,95.0,9214.0,0.6666666666666666,2.0,2.0
0.05,67.0,7530.0,0.6666666666666666,2.0,2.0
0.1,61.0,6854.0,0.6666666666666666,2.0,2.0
0.15000000000000002,53.0,6292.0,0.6666666666666666,2.0,2.0
0.2,50.0,5294.0,0.6666666666666666,2.0,2.0
