threshold,max assoc,n assocs,accuracy,round
0.0,905.0,820988.0,0.1025,0.0
0.05,444.0,458846.0,0.1025,0.0
0.1,301.0,364834.0,0.1025,0.0
0.15000000000000002,220.0,313190.0,0.1025,0.0
0.2,202.0,266820.0,0.1025,0.0
0.25,198.0,230746.0,0.1025,0.0
0.3,194.0,201936.0,0.1025,0.0
0.35000000000000003,181.0,177932.0,0.1025,0.0
0.4,145.0,156308.0,0.1025,0.0
0.45,137.0,136222.0,0.1025,0.0
0.5,121.0,117386.0,0.1025,0.0
0.55,106.0,99824.0,0.102,0.0
0.6000000000000001,88.0,83432.0,0.1025,0.0
0.6500000000000001,80.0,68734.0,0.1035,0.0
0.7000000000000001,69.0,54804.0,0.1495,0.0
0.7500000000000001,57.0,42134.0,0.1005,0.0
0.8,50.0,29932.0,0.1965,0.0
0.8500000000000001,40.0,18584.0,0.1015,0.0
0.9000000000000001,28.0,9612.0,0.1015,0.0
0.9500000000000001,16.0,3928.0,0.1015,0.0
1.0,2.0,2032.0,0.1005,0.0
0.0,921.0,753676.0,0.1025,1.0
0.05,438.0,463994.0,0.1025,1.0
0.1,332.0,368314.0,0.1025,1.0
0.15000000000000002,229.0,313174.0,0.1025,1.0
0.2,201.0,271720.0,0.1025,1.0
0.25,198.0,236326.0,0.1025,1.0
0.3,194.0,207132.0,0.1025,1.0
0.35000000000000003,187.0,182184.0,0.1025,1.0
0.4,157.0,160754.0,0.1025,1.0
0.45,139.0,140170.0,0.1025,1.0
0.5,130.0,121062.0,0.1025,1.0
0.55,119.0,103108.0,0.1015,1.0
0.6000000000000001,93.0,86602.0,0.2025,1.0
0.6500000000000001,88.0,71208.0,0.2755,1.0
0.7000000000000001,82.0,56970.0,0.274,1.0
0.7500000000000001,68.0,43588.0,0.101,1.0
0.8,53.0,31288.0,0.101,1.0
0.8500000000000001,45.0,20372.0,0.1205,1.0
0.9000000000000001,37.0,10892.0,0.1005,1.0
0.9500000000000001,22.0,4278.0,0.1015,1.0
