threshold,max assoc,n assocs,accuracy,round,n_clusts
0.0,1048.0,796918.0,0.1,0.0,2
0.05,465.0,465024.0,0.1,0.0,2
0.1,325.0,365234.0,0.1,0.0,2
0.15000000000000002,234.0,312556.0,0.1,0.0,2
0.2,200.0,268240.0,0.1,0.0,2
0.25,198.0,231040.0,0.1,0.0,2
0.3,197.0,203140.0,0.1,0.0,2
0.35000000000000003,183.0,179274.0,0.1,0.0,2
0.4,152.0,158026.0,0.1,0.0,2
0.45,136.0,137508.0,0.1,0.0,2
0.5,118.0,118292.0,0.103,0.0,12
0.55,107.0,100960.0,0.204,0.0,27
0.6000000000000001,89.0,85164.0,0.2995,0.0,46
0.6500000000000001,79.0,70134.0,0.394,0.0,70
0.7000000000000001,72.0,56058.0,-1.0,0.0,111
0.7500000000000001,60.0,42886.0,-1.0,0.0,171
0.8,50.0,30372.0,-1.0,0.0,262
0.8500000000000001,41.0,19262.0,-1.0,0.0,463
0.9000000000000001,30.0,9926.0,-1.0,0.0,841
0.9500000000000001,15.0,3942.0,-1.0,0.0,1460
1.0,4.0,2046.0,-1.0,0.0,1980
0.0,885.0,779912.0,0.0995,1.0,5
0.05,496.0,469374.0,0.0995,1.0,5
0.1,319.0,371548.0,0.0995,1.0,5
0.15000000000000002,246.0,317200.0,0.0995,1.0,5
0.2,201.0,278540.0,0.0995,1.0,5
0.25,198.0,238630.0,0.0995,1.0,5
0.3,197.0,207918.0,0.0995,1.0,5
0.35000000000000003,191.0,183516.0,0.1,1.0,2
0.4,185.0,161114.0,0.1005,1.0,3
0.45,168.0,140244.0,0.0995,1.0,5
0.5,124.0,121038.0,0.103,1.0,10
0.55,113.0,103374.0,0.2045,1.0,25
0.6000000000000001,105.0,87654.0,0.286,1.0,43
0.6500000000000001,91.0,72818.0,0.378,1.0,67
0.7000000000000001,86.0,58766.0,-1.0,1.0,111
0.7500000000000001,79.0,45540.0,-1.0,1.0,179
0.8,61.0,33204.0,-1.0,1.0,269
0.8500000000000001,47.0,21546.0,-1.0,1.0,450
0.9000000000000001,29.0,11044.0,-1.0,1.0,831
0.9500000000000001,18.0,4360.0,-1.0,1.0,1430
1.0,3.0,2038.0,-1.0,1.0,1982
0.0,870.0,753256.0,0.1,2.0,2
0.05,423.0,444848.0,0.1,2.0,2
0.1,303.0,352342.0,0.1,2.0,2
0.15000000000000002,219.0,301014.0,0.1,2.0,2
0.2,199.0,255472.0,0.1,2.0,2
0.25,198.0,222910.0,0.1,2.0,2
0.3,191.0,195880.0,0.1,2.0,2
0.35000000000000003,183.0,172868.0,0.1,2.0,2
0.4,139.0,151796.0,0.1,2.0,3
0.45,133.0,132708.0,0.0995,2.0,5
0.5,125.0,114814.0,0.1025,2.0,10
0.55,105.0,98138.0,0.204,2.0,19
0.6000000000000001,89.0,82672.0,0.2995,2.0,43
0.6500000000000001,84.0,68508.0,0.4745,2.0,67
0.7000000000000001,77.0,54768.0,-1.0,2.0,109
0.7500000000000001,70.0,42428.0,-1.0,2.0,186
0.8,51.0,30590.0,-1.0,2.0,277
0.8500000000000001,45.0,19742.0,-1.0,2.0,460
0.9000000000000001,30.0,10190.0,-1.0,2.0,827
0.9500000000000001,16.0,4070.0,-1.0,2.0,1482
1.0,2.0,2042.0,-1.0,2.0,1979
0.0,915.0,769070.0,0.1,3.0,2
0.05,449.0,457150.0,0.1,3.0,2
0.1,312.0,362710.0,0.1,3.0,2
0.15000000000000002,236.0,309794.0,0.1,3.0,2
0.2,199.0,263038.0,0.1,3.0,2
0.25,198.0,227882.0,0.1,3.0,2
0.3,195.0,200162.0,0.1,3.0,2
0.35000000000000003,186.0,176516.0,0.1,3.0,2
0.4,142.0,154974.0,0.1,3.0,2
0.45,126.0,134940.0,0.099,3.0,5
0.5,118.0,116184.0,0.1025,3.0,10
0.55,101.0,98976.0,0.2995,3.0,24
0.6000000000000001,91.0,83002.0,0.299,3.0,42
0.6500000000000001,85.0,67978.0,0.393,3.0,68
0.7000000000000001,77.0,54128.0,-1.0,3.0,111
0.7500000000000001,66.0,41494.0,-1.0,3.0,177
0.8,52.0,29754.0,-1.0,3.0,301
0.8500000000000001,39.0,18866.0,-1.0,3.0,461
0.9000000000000001,29.0,9786.0,-1.0,3.0,863
0.9500000000000001,12.0,3794.0,-1.0,3.0,1518
1.0,2.0,2028.0,-1.0,3.0,1986
0.0,891.0,819882.0,0.1,4.0,2
0.05,434.0,463520.0,0.1,4.0,2
0.1,299.0,363096.0,0.1,4.0,2
0.15000000000000002,230.0,305294.0,0.1,4.0,2
0.2,205.0,260874.0,0.1,4.0,2
0.25,198.0,229216.0,0.1,4.0,2
0.3,198.0,202186.0,0.1,4.0,2
0.35000000000000003,188.0,178358.0,0.1,4.0,2
0.4,157.0,156958.0,0.1,4.0,4
0.45,126.0,136972.0,0.0995,4.0,6
0.5,116.0,118530.0,0.1025,4.0,12
0.55,106.0,100884.0,0.104,4.0,23
0.6000000000000001,95.0,84634.0,0.2055,4.0,39
0.6500000000000001,88.0,69794.0,0.3955,4.0,61
0.7000000000000001,83.0,56062.0,-1.0,4.0,104
0.7500000000000001,72.0,43266.0,-1.0,4.0,177
0.8,54.0,31210.0,-1.0,4.0,268
0.8500000000000001,45.0,19802.0,-1.0,4.0,468
0.9000000000000001,31.0,10366.0,-1.0,4.0,838
0.9500000000000001,17.0,4064.0,-1.0,4.0,1482
1.0,3.0,2048.0,-1.0,4.0,1978
0.0,906.0,745756.0,0.1,5.0,2
0.05,444.0,447794.0,0.1,5.0,2
0.1,286.0,356728.0,0.1,5.0,2
0.15000000000000002,216.0,304664.0,0.1,5.0,2
0.2,199.0,260164.0,0.1,5.0,2
0.25,197.0,225230.0,0.1,5.0,2
0.3,194.0,196902.0,0.1,5.0,2
0.35000000000000003,186.0,173766.0,0.1,5.0,2
0.4,171.0,153264.0,0.1,5.0,2
0.45,123.0,133820.0,0.099,5.0,7
0.5,111.0,115238.0,0.103,5.0,13
0.55,102.0,98638.0,0.3005,5.0,26
0.6000000000000001,89.0,83242.0,0.3,5.0,45
0.6500000000000001,85.0,68794.0,0.5675,5.0,74
0.7000000000000001,78.0,55250.0,-1.0,5.0,115
0.7500000000000001,68.0,42602.0,-1.0,5.0,179
0.8,56.0,30502.0,-1.0,5.0,275
0.8500000000000001,49.0,19628.0,-1.0,5.0,468
0.9000000000000001,28.0,9916.0,-1.0,5.0,846
0.9500000000000001,11.0,3822.0,-1.0,5.0,1477
1.0,3.0,2036.0,-1.0,5.0,1983
0.0,1029.0,799442.0,0.1,6.0,2
0.05,488.0,446084.0,0.1,6.0,2
0.1,315.0,355704.0,0.1,6.0,2
0.15000000000000002,249.0,303654.0,0.1,6.0,2
0.2,200.0,261874.0,0.1,6.0,2
0.25,198.0,228052.0,0.1,6.0,2
0.3,196.0,200438.0,0.1,6.0,2
0.35000000000000003,187.0,176266.0,0.1,6.0,2
0.4,160.0,155206.0,0.1005,6.0,4
0.45,140.0,136520.0,0.0995,6.0,6
0.5,132.0,118464.0,0.1035,6.0,11
0.55,110.0,101806.0,0.204,6.0,23
0.6000000000000001,94.0,86528.0,0.3,6.0,42
0.6500000000000001,89.0,71746.0,0.391,6.0,74
0.7000000000000001,81.0,58100.0,-1.0,6.0,110
