threshold,max assoc,n assocs,accuracy,round
0.0,329.0,167140.0,0.6458333333333334,0.0
0.05,276.0,120960.0,0.6458333333333334,0.0
0.1,201.0,95960.0,0.6458333333333334,0.0
0.15000000000000002,172.0,81060.0,0.6458333333333334,0.0
0.2,137.0,69858.0,0.6458333333333334,0.0
0.25,119.0,60564.0,0.6458333333333334,0.0
0.3,110.0,52232.0,0.6458333333333334,0.0
0.35000000000000003,95.0,45326.0,0.515625,0.0
0.4,85.0,39064.0,0.515625,0.0
0.45,74.0,33800.0,0.515625,0.0
0.5,67.0,28798.0,0.515625,0.0
0.55,59.0,23968.0,0.515625,0.0
0.6000000000000001,53.0,19558.0,0.515625,0.0
0.6500000000000001,45.0,15620.0,0.515625,0.0
0.7000000000000001,37.0,11966.0,0.6497395833333334,0.0
0.7500000000000001,31.0,8890.0,0.6497395833333334,0.0
0.8,26.0,6490.0,0.6497395833333334,0.0
0.8500000000000001,21.0,4400.0,0.6432291666666666,0.0
0.9000000000000001,17.0,2694.0,0.6497395833333334,0.0
0.9500000000000001,13.0,1442.0,0.6484375,0.0
1.0,3.0,802.0,0.6497395833333334,0.0
0.0,342.0,178568.0,0.6458333333333334,1.0
0.05,264.0,120154.0,0.6458333333333334,1.0
0.1,207.0,93636.0,0.6458333333333334,1.0
0.15000000000000002,167.0,78752.0,0.6458333333333334,1.0
0.2,144.0,67748.0,0.6458333333333334,1.0
0.25,117.0,58720.0,0.6458333333333334,1.0
0.3,105.0,50832.0,0.6458333333333334,1.0
0.35000000000000003,90.0,43842.0,0.6458333333333334,1.0
0.4,80.0,37746.0,0.6458333333333334,1.0
0.45,73.0,32346.0,0.6458333333333334,1.0
0.5,65.0,27540.0,0.6458333333333334,1.0
0.55,53.0,22932.0,0.6458333333333334,1.0
0.6000000000000001,45.0,18684.0,0.6458333333333334,1.0
0.6500000000000001,41.0,14770.0,0.6458333333333334,1.0
0.7000000000000001,35.0,11464.0,0.6458333333333334,1.0
0.7500000000000001,30.0,8536.0,0.6497395833333334,1.0
0.8,23.0,6136.0,0.6471354166666666,1.0
0.8500000000000001,21.0,4194.0,0.6497395833333334,1.0
0.9000000000000001,18.0,2674.0,0.6497395833333334,1.0
0.9500000000000001,14.0,1584.0,0.65234375,1.0
1.0,6.0,840.0,0.6497395833333334,1.0
0.0,356.0,169046.0,0.6458333333333334,2.0
0.05,267.0,121632.0,0.6458333333333334,2.0
0.1,211.0,97586.0,0.6458333333333334,2.0
0.15000000000000002,178.0,82986.0,0.6458333333333334,2.0
0.2,147.0,72146.0,0.6458333333333334,2.0
0.25,126.0,62612.0,0.6458333333333334,2.0
0.3,115.0,54418.0,0.6458333333333334,2.0
0.35000000000000003,109.0,47172.0,0.515625,2.0
0.4,94.0,40916.0,0.515625,2.0
0.45,79.0,35340.0,0.515625,2.0
0.5,70.0,30132.0,0.515625,2.0
0.55,61.0,25164.0,0.515625,2.0
0.6000000000000001,54.0,20496.0,0.6497395833333334,2.0
0.6500000000000001,47.0,16354.0,0.6497395833333334,2.0
0.7000000000000001,35.0,12518.0,0.6497395833333334,2.0
0.7500000000000001,31.0,9308.0,0.6497395833333334,2.0
0.8,27.0,6640.0,0.6484375,2.0
0.8500000000000001,20.0,4380.0,0.6471354166666666,2.0
0.9000000000000001,17.0,2678.0,0.6497395833333334,2.0
0.9500000000000001,14.0,1510.0,0.6497395833333334,2.0
1.0,4.0,832.0,0.6497395833333334,2.0
0.0,326.0,169090.0,0.6458333333333334,3.0
0.05,249.0,117232.0,0.6458333333333334,3.0
0.1,207.0,95154.0,0.6458333333333334,3.0
0.15000000000000002,161.0,80624.0,0.6458333333333334,3.0
0.2,134.0,69734.0,0.6458333333333334,3.0
0.25,120.0,60742.0,0.6458333333333334,3.0
0.3,109.0,52528.0,0.6458333333333334,3.0
0.35000000000000003,100.0,45452.0,0.6458333333333334,3.0
0.4,84.0,39430.0,0.515625,3.0
0.45,74.0,33982.0,0.515625,3.0
0.5,69.0,29104.0,0.515625,3.0
0.55,58.0,24398.0,0.515625,3.0
0.6000000000000001,53.0,19804.0,0.515625,3.0
0.6500000000000001,47.0,15730.0,0.515625,3.0
0.7000000000000001,38.0,12118.0,0.6497395833333334,3.0
0.7500000000000001,32.0,9050.0,0.6497395833333334,3.0
0.8,23.0,6488.0,0.6497395833333334,3.0
0.8500000000000001,19.0,4438.0,0.65234375,3.0
0.9000000000000001,18.0,2730.0,0.65234375,3.0
0.9500000000000001,13.0,1474.0,0.6497395833333334,3.0
1.0,7.0,860.0,0.6497395833333334,3.0
0.0,348.0,187762.0,0.6458333333333334,4.0
0.05,252.0,119946.0,0.6458333333333334,4.0
0.1,204.0,96804.0,0.6458333333333334,4.0
0.15000000000000002,159.0,82550.0,0.6458333333333334,4.0
0.2,140.0,71550.0,0.6458333333333334,4.0
0.25,124.0,62380.0,0.6458333333333334,4.0
0.3,116.0,54126.0,0.6458333333333334,4.0
0.35000000000000003,108.0,46892.0,0.515625,4.0
0.4,94.0,40658.0,0.515625,4.0
0.45,79.0,34972.0,0.515625,4.0
0.5,62.0,29754.0,0.515625,4.0
0.55,56.0,24938.0,0.515625,4.0
0.6000000000000001,48.0,20162.0,0.515625,4.0
0.6500000000000001,41.0,15814.0,0.515625,4.0
0.7000000000000001,37.0,12296.0,0.5143229166666666,4.0
0.7500000000000001,31.0,9236.0,0.6497395833333334,4.0
0.8,23.0,6682.0,0.6497395833333334,4.0
0.8500000000000001,20.0,4418.0,0.6497395833333334,4.0
0.9000000000000001,17.0,2666.0,0.65234375,4.0
